word,score
surat,4619
stave,4619
sheal,4616
speat,4616
solde,4615
padre,4615
lathe,4614
starn,4613
loast,4613
toney,4612
arpen,4612
rones,4611
oread,4611
grape,4611
samen,4610
lacey,4608
swore,4608
snary,4607
orles,4606
yearn,4606
nates,4606
realm,4606
caber,4606
brame,4606
hears,4605
outre,4604
swire,4604
tribe,4604
borne,4604
reamy,4603
since,4602
larnt,4601
scone,4601
manet,4601
sucre,4600
apert,4599
shape,4599
cadet,4598
shiel,4598
rites,4597
bears,4597
scart,4597
louie,4595
tesla,4595
toper,4595
rhone,4594
spile,4594
amole,4593
pause,4592
lawer,4592
slime,4592
psoae,4591
boite,4591
beray,4591
leirs,4590
coset,4590
rhine,4590
spite,4590
lated,4589
peaty,4589
tased,4589
cadie,4589
denar,4589
saury,4589
rapes,4587
presa,4587
laker,4586
tsade,4585
false,4585
price,4585
fares,4584
wrote,4584
curet,4583
hoise,4582
coste,4582
namer,4582
cosie,4581
tenia,4581
rainy,4581
ranke,4581
stray,4581
forte,4581
grame,4581
years,4580
ulnae,4580
luter,4580
write,4580
riles,4579
elans,4579
loave,4579
louse,4579
birle,4579
sower,4579
drice,4578
canes,4576
manse,4576
swear,4576
curie,4574
reach,4574
troke,4574
snake,4574
conte,4573
gears,4572
barde,4572
meant,4571
tuner,4571
rouen,4570
steil,4570
payer,4570
trues,4570
trike,4570
laver,4570
borel,4570
haute,4569
morne,4569
shame,4569
ramen,4568
panel,4568
sidle,4568
acres,4566
leapt,4566
seric,4566
feast,4566
neals,4565
agile,4565
oaker,4564
scape,4564
pared,4563
pleat,4562
sepal,4562
neats,4561
taces,4561
poser,4561
weary,4561
moile,4560
glace,4560
faery,4559
outer,4558
soled,4558
birse,4558
curse,4558
leash,4557
lande,4557
parge,4557
clame,4557
isnae,4556
toles,4556
chore,4555
doser,4554
ureas,4553
barye,4553
caple,4553
hause,4552
royne,4552
matey,4551
rages,4550
cruel,4550
skear,4550
savey,4550
ocrea,4549
reads,4549
alike,4549
sault,4549
rotal,4548
thole,4546
rache,4546
seton,4545
macer,4545
doner,4545
eorls,4544
roues,4544
sonde,4544
salty,4544
risen,4543
trona,4542
elint,4542
tiers,4541
beaty,4541
argue,4540
reins,4539
cripe,4539
frape,4539
drake,4538
walie,4535
morel,4535
tawie,4534
roted,4534
slain,4534
prest,4534
carve,4534
pareu,4533
paten,4533
blaes,4533
pries,4533
rails,4532
urena,4532
skier,4532
madre,4532
arils,4531
certy,4531
ravel,4531
hayer,4530
sadhe,4529
raits,4528
flier,4528
taupe,4527
drest,4527
tired,4527
dries,4526
spade,4526
resty,4525
those,4525
