prase,1080,2188,1012,1584,1084,632,540,452,288,188,72,40,44,32,12,4,0,4,4,0,0,20308
spare,1080,2212,988,1560,1196,544,504,508,268,188,44,72,32,16,36,0,4,4,0,0,4,20304
laser,820,2040,760,2340,840,484,1068,304,240,148,104,64,12,20,16,0,0,0,0,0,0,20280
sayer,836,2220,980,1820,1268,572,580,508,176,164,48,48,16,4,20,0,0,0,0,0,0,20264
cater,984,2160,768,1988,1028,568,716,404,208,172,112,60,28,28,20,8,4,0,0,0,4,20240
sared,1028,1860,1264,1560,1496,384,552,560,348,56,56,76,12,8,0,0,0,0,0,0,0,20236
tares,908,2040,724,1912,1380,236,932,528,220,36,184,96,48,12,0,4,0,0,0,0,0,20228
trade,1076,1916,1068,1812,1160,472,668,476,248,156,76,60,36,20,8,0,0,4,0,0,4,20220
sarge,1048,1888,1312,1608,1392,528,456,472,304,80,20,88,40,12,12,0,0,0,0,0,0,20212
earst,908,2068,696,2056,1248,224,836,612,224,44,132,156,44,8,0,4,0,0,0,0,0,20200
trone,1044,1820,1164,1844,1280,584,620,396,196,156,76,20,16,20,20,0,4,0,0,0,0,20196
trine,1080,1900,1128,1880,1156,608,512,360,288,168,88,28,12,16,28,8,0,0,0,0,0,20180
alert,784,2084,688,2288,1152,276,956,488,184,72,144,80,36,12,4,4,0,4,0,0,4,20164
torse,984,1916,1160,1920,1236,356,540,580,224,108,76,84,36,20,16,0,4,0,0,0,0,20148
spaer,1080,2356,844,1500,1236,564,480,512,408,68,48,40,84,28,0,4,0,0,8,0,0,20120
alone,724,2296,1028,1864,1352,536,668,272,268,120,64,32,12,8,12,0,0,0,0,0,4,20112
aline,880,2212,1008,1840,1212,560,624,364,268,144,60,36,20,16,12,0,0,0,4,0,0,20096
scrae,948,2120,964,1752,1476,288,588,568,292,48,36,88,64,12,12,0,0,0,4,0,0,20096
grate,1104,1880,1120,1880,1212,528,524,400,252,140,92,52,16,24,28,0,0,4,0,0,4,20084
leary,860,2076,988,1972,1472,324,568,556,184,108,32,40,28,16,24,0,8,4,0,0,0,20080
siler,824,2212,960,2076,1236,552,456,456,216,148,16,48,24,32,4,0,0,0,0,0,0,20064
liane,880,2032,1188,1828,1348,436,508,552,312,28,52,52,28,12,0,4,0,0,0,0,0,20052
shale,964,2452,1268,1396,1108,676,344,424,304,160,20,40,24,28,44,0,4,0,0,0,4,20052
serai,672,2148,784,2232,1296,248,892,652,160,40,48,52,24,4,0,8,0,0,0,0,0,20048
trape,1072,2024,1040,1728,1244,432,648,452,268,128,96,48,36,16,24,0,4,0,0,0,0,20048
arsey,836,2044,1156,1664,1668,328,532,724,144,28,56,60,16,4,0,0,0,0,0,0,0,20028
snore,948,2092,1168,1836,1292,540,436,424,212,128,44,52,32,24,28,0,0,0,0,0,4,20028
maire,872,2092,1264,1728,1360,496,440,576,252,60,36,48,24,8,4,0,0,0,0,0,0,20000
realo,704,2096,660,2256,1344,220,1100,524,160,40,104,24,24,0,4,0,0,0,0,0,0,19988
