word,score
91-34=57,98969
29+16=45,98966
93-75=18,98951
28+41=69,98951
98-31=67,98933
61+24=85,98932
79-15=64,98921
45+17=62,98919
48+23=71,98915
52+41=93,98915
40-17=23,98910
15+48=63,98896
68-25=43,98885
91-57=34,98885
67-18=49,98882
79-14=65,98865
74+12=86,98855
89-75=14,98855
84+12=96,98852
73+21=94,98848
47+15=62,98841
32+17=49,98836
50-34=16,98833
86-32=54,98832
89-76=13,98819
42+51=93,98819
72+14=86,98809
68-45=23,98807
82+14=96,98806
16+43=59,98801
28+17=45,98800
89-74=15,98799
37+21=58,98795
91-54=37,98795
28+43=71,98774
41+27=68,98769
50-36=14,98769
60-18=42,98767
86-34=52,98763
62+13=75,98759
93-78=15,98754
21+53=74,98753
87-36=51,98751
37+12=49,98745
89-13=76,98739
46+25=71,98734
27+31=58,98723
27+19=46,98706
64-25=39,98705
64-29=35,98704
38+21=59,98704
98-41=57,98704
43+28=71,98696
12+73=85,98693
64-35=29,98666
64-39=25,98665
57-19=38,98663
45+26=71,98662
86-52=34,98658
27+18=45,98645
29+17=46,98633
28+31=59,98632
21+47=68,98628
79-38=41,98626
60-21=39,98618
98-61=37,98618
63+12=75,98604
13+59=72,98600
14+53=67,98596
31+26=57,98594
26+45=71,98593
15+67=82,98592
19+53=72,98591
86-54=32,98589
79-48=31,98587
13+46=59,98587
93-15=78,98586
60-31=29,98579
87-56=31,98577
98-51=47,98569
50-12=38,98562
23+48=71,98555
12+83=95,98548
42+39=81,98545
13+72=85,98538
41+28=69,98523
21+36=57,98522
25+46=71,98521
17+65=82,98514
71+23=94,98498
97-46=51,98498
21+64=85,98497
89-15=74,98490
32+49=81,98476
57-18=39,98467
12+57=69,98466
78-32=46,98464
89-16=73,98454
58+14=72,98446
87-23=64,98441
98-37=61,98438
89-14=75,98434
54+18=72,98428
78-42=36,98425
51+42=93,98410
13+54=67,98395
13+82=95,98393
93-18=75,98389
21+48=69,98382
49+32=81,98381
31+27=58,98381
63+19=82,98375
17+52=69,98375
74+21=95,98373
68+23=91,98371
18+74=92,98369
69+13=82,98366
97-56=41,98363
50-18=32,98352
14+78=92,98351
78-36=42,98331
41+52=93,98314
39+42=81,98312
21+37=58,98309
78-46=32,98292
72+13=85,98278
38+16=54,98278
82+13=95,98275
36+18=54,98273
28+19=47,98263
73-25=48,98260
87-24=63,98220
98-47=51,98209
60-43=17,98191
23+71=94,98183
73-45=28,98182
92-34=58,98172
54+27=81,98170
42+17=59,98169
70-52=18,98162
64+27=91,98159
63+28=91,98152
31+28=59,98135
73+12=85,98123
98-67=31,98123
83+12=95,98120
60-29=31,98088
87-63=24,98087
47+12=59,98078
98-57=41,98074
18+47=65,98065
14+69=83,98065
21+38=59,98063
73-28=45,98063
60-47=13,98060
83-29=54,98053
4*6-1=23,98051
60-39=21,98049
29+18=47,98035
48+15=63,98034
57+24=81,98033
92-38=54,98031
67+24=91,98022
82-37=45,98014
65-27=38,98013
75+21=96,97999
92-54=38,97998
83-24=59,97998
73-48=25,97985
82-35=47,97980
82-47=35,97975
65-37=28,97974
45+31=76,97958
45+18=63,97957
78+14=92,97954
70-58=12,97952
65+17=82,97947
9+6-3=12,97945
82-45=37,97941
28+63=91,97936
74+18=92,97936
70-21=49,97934
24+57=81,97933
4*5-2=18,97930
6*4-1=23,97925
50-14=36,97925
18+56=74,97919
16+58=74,97914
17+48=65,97910
35+41=76,97889
67+15=82,97869
87-64=23,97866
46+13=59,97862
50-16=34,97861
5*4-2=18,97859
92-58=34,97857
70-41=29,97856
19+64=83,97855
6+9-3=12,97852
83-59=24,97840
21+73=94,97833
2*4+5=13,97825
71+24=95,97822
27+54=81,97796
93-25=68,97794
9+6-2=13,97793
64+31=95,97788
83-54=29,97785
65-28=37,97782
98-42=56,97769
53+19=72,97757
54+13=67,97753
59+13=72,97748
65-38=27,97743
83-27=56,97732
2*3+8=14,97728
24+67=91,97724
4*5-8=12,97720
23+68=91,97717
24+71=95,97708
15+63=78,97705
6+9-2=13,97700
89-25=64,97698
4*6-3=21,97687
46+35=81,97668
17+39=56,97652
5*4-8=12,97649
43+16=59,97648
75-29=46,97646
14+59=73,97645
89-24=65,97642
3*2+8=14,97642
2*4+8=16,97642
98-46=52,97636
98-52=46,97634
2*6+3=15,97627
52+17=69,97623
15+69=84,97607
36+45=81,97599
93-28=65,97597
45+36=81,97596
27+64=91,97587
19+37=56,97579
83-26=57,97578
75-49=26,97568
4*2+5=13,97568
13+65=78,97563
6*4-3=21,97561
53+14=67,97552
7+8-3=12,97542
57+12=69,97532
18+49=67,97528
75-26=49,97527
35+46=81,97527
70-54=16,97525
83-57=26,97519
71+25=96,97507
58+21=79,97502
98-56=42,97501
2*9-3=15,97495
80-21=59,97492
41+35=76,97466
70-56=14,97461
19+65=84,97456
75-46=29,97449
